Crude oil for April delivery traded at $37.80 a barrel, down 28 cents.	Crude oil prices rose to $37.80 per barrel.
In an address to the IAEA board of governors in Vienna, Hans Blix said a technical team that visited North Korea last month found that facilities subject to the freeze were not in operation and that construction work had stopped..	Hans Blix is the director general of IAEA.
The U.S. handed power on June 30 to Iraq's interim government chosen by the United Nations and Paul Bremer, former governor of Iraq.	The U.S. chose Paul Bremer as new governor of Iraq.
The first Windows DNA lab outside Microsoft was established in suburban Philadelphia in June 1998.	Microsoft was established in June 1998.
Ahern, who was travelling to Tokyo for an EU-Japan summit yesterday, will consult with other EU leaders about the election of the EU commission president.	EU leaders take part in an EU-Japan summit.
Romano Prodi will meet the US President George Bush in his capacity as president of the European commission.	Romani Prodi is the US President.
The Anzio beachhead, 33 miles south of Rome, saw some of the bloodiest fighting of World War II, and accounted for many of the 10,000 US battle deaths in Italy in the first half of 1944.	The Anzio beachhead is located 33 miles south of Rome.
Crude oil dips below $43 on news that Russia's justice ministry will not force Yukos to halt sales.	Crude oil rises.
The White House failed to act on the domestic threat from al Qaeda prior to September 11, 2001.	White House ignored the threat of attack.
No Weapons of Mass Destruction Found in Iraq Yet.	Weapons of Mass Destruction Found in Iraq.
A priest who served in the Diocese of Metuchen in the mid-1980s has been sentenced to life in prison for sexually abusing a Massachusetts boy.	Pedophile gets life in prison.
Eilat, Israel's most southerly port and the country's only access to the Red Sea, has long been a winter destination for tourists, 80% of whom are Europeans attracted by its temperate climates and clear waters.	In winter most tourists to Eilat come from Europe.
On the eve of a widely anticipated retaliation against Russian forces in Grozny, military commanders withdrew key units from the city, leaving it vulnerable to guerrilla infiltration.	Russian forces vulnerable to guerrilla fighters.
No stockpiles of weapons of mass destruction have been found in Iraq since Saddam's regime was toppled in a US-led invasion last year.	Weapons of mass destruction found in Iraq.
The Scots pioneered the idea of a single currency, when they shared the Ecu with France during the Auld Alliance, and therefore they are certain to join in the monetary union process again when the EU states amalgamate their currencies under Maastricht.	France still maintains Ecu is the best denomination for the Maastricht single-currency..
Hippos do come into conflict with people quite often.	Hippopotamus attacks human.
Acid attacks on women are carried out across Asia, with reports of such incidents from Burma, Cambodia, India and Pakistan.	Acid attacks are carried out on women.
Dr. Amy Joy Lanou, director of the Physicians Committee for Responsible Medicine in America, was quick to point out health dangers of the Atkins diet.	Atkins diet is associated with increased risk conditions.
Turkey is unlikely to become involved in, or allow U.S. forces to use Turkish territory in a Middle East war that does not threaten her territory directly.	U.S. to use Turkish military bases.
Security preparations kept protestors at bay at the recent G8 Summit on Sea Island (USA).	Demonstrations against G8 Summit took place at Sea Island bay.
Scripps Memorial Hospital Encinitas emergency room doctors and nurses treat two to three injured surfers.	Scripps Hospital assists surfing accident victims.
It would create an underclass of illiterate and impoverished residents, deprived of basic skills, including English-language skills, necessary for the integration of immigrant children into our society and our work force.	Language skills are a means of social integration.
There is none. They found as many weapons in this masjid as they found weapons of mass destruction in Iraq.	Weapons of mass destruction found in Iraq.
The Security Council voted in 2002 to protect U.S. soldiers and personnel from other nations that haven't ratified the creation of the court through a treaty, and last June renewed the immunity for a year.	Immunity for soldiers renewed.
The council prohibited any travel outside of Haiti by all officers of the Haitian military and police and all major participants in the September, 1991, coup.	The council is prohibited to travel outside of Haiti by military officers.
Winning Team John C. Harsanyi, John F. Nash and Reinhard Selten were jointly awarded the Nobel Prize in Economics. The three professors were singled out for their unique contributions to game theory, derived from studies of games such as poker or chess, in which players have to think ahead and devise a strategy based on expected countermoves from opponents.	Three scholars shared a Nobel Prize for their studies about the game theory.
NIH's FY05 budget request of $28.8 billion includes $2 billion for the National Institute of General Medical Sciences, a 3.4-percent increase, and $1.1 billion for the National Center for Research Resources, and a 7.2-percent decrease from FY04 levels.	A request was reduced to $1.1 billion.
Swedish Foreign Minister murdered.	Swedish prime minister murdered.
Baghdad had announced that it will stop cooperating with UNSCOM completely but indicated that it will not ask for their departure.	Baghdad will end it's cooperation with UNSCOM, and wants them to leave.
An Iraqi official reported today, Saturday, that 68 Iraqi civilians were killed as a result of the American and British bombing on Iraq and that their funerals were held today in Baghdad.	The 68 civilians killed as a result of the Anglo-American bombing of Iraq, were buried today in Baghdad.
An official of Abyan police, where 16 Western tourists are being held since yesterday, announced that the hostages are held by the Yemeni Islamic Jihad group, which is demanding the release of its leader and lifting the embargo on Iraq.	The Yemen branch of the Islamic Jihad group, kidnapped the 16 Western tourists.
Contact with the press will be restricted to perodic meetings, as promised by all three parties, in order to focus their energies on the most important issues.	The delegations may only speak periodically to the press, in order to concentrate on the issues.
Sultan Al-Shawi, a.k.a the Attorney, said during a funeral held for the victims, They were all children of Iraq killed during the savage bombing..	The Attorney, said at the funeral, They were all Iraqis killed during the brutal shelling..
Scientists had thought all gamma-ray bursts had a standard energy.	The scientists had thought that all explosions gamma the ray have a standard energy.
U.S. crude settled $1.32 lower at $42.83 a barrel.	Crude the light American lowered to the closing 1.32 dollars, to 42.83 dollars the barrel.
The Commission, designated to shed light on crimes and human rights violations during the apartheid period, accuses the African National Congress of carrying out torture and executions without trials in concentration camps, and also of playing an active role in the political violence incidents that took place between 1990 and 1994.	The Commission accused the ANC of violence, executions and human rights violations.
The Commission's Deputy Chairman, Charles Duelfer, said, We will keep the inspectors there in the hope that Iraq may back down from its decision..	The Vice-Chairman of the Committee Charles Duelfer said, we hope to end Iraq's resolution..
The Prime Minister's Office and the Foreign Office had earlier purposely asserted that the case is strictly in the jurisdiction of the police and the justice system.	The jurisdiction of the case was queried by the Prime Minister and the Ministry of Foreign Affairs.
Iraq's representative to the United Nations, Nizar Hamdoun, announced today, Sunday, that thousands of people were killed or injured during the four days of air bombardment against Iraq.	Nizar HAMDOON, Iraqi ambassador to the United Nations, announced that thousands of people could be killed or wounded due to the aerial bombardment of Iraq.
Ecevit, one of the most senior Turkish politicians, was unable to secure the necessary support from the parties represented in the Parliament in order to form his government.	Ecevit was unable to form the government due to a lack of support.
The American television network CNN reported that officials at the American Defense Department (The Pentagon) will recommend halting the bombing on Iraq to President Bill Clinton this evening, Saturday.	CNN reported that officials at the Pentagon said that President Clinton is obligated to stop the shelling on Iraq .
The cost of the consumer of the United States fell in June.	U.S. consumer spending dived in June.
The Truth and Reconciliation Commission's investigators submitted the preliminary results of their work in early October to around 200 organisations and individuals to warn them of charges against them and to give them the opportunity to respond before final drafting of the report.	The Commission investigated 200 people and oragnisations, before charging them, in order to prevent them from responding prior to the official release of the report.
This explanation was rejected by the Government of Chile, who insist that Pinochet enjoys diplomatic immunity in his capacity as an elected member in the Senate for life since leaving the command of the armed forces last March.	The Chilean government affirming that as a member of the Senate, Pinochet has diplomatic immunity.
Brazil, Australia and Thailand argued that the EU, one of the world's largest exporters, broke WTO farm rules by exceeding limits on export subsidies laid down under WTO's 1994 Agreement on Agriculture.	The three countries argued that UE, one of the greater exporter of the world, infringed the rules of the OMC when exceeding the limit of the subsidies to the exports indicated under the Agreement on Agriculture of the OMC in 1994.
UNSCOM employs about 120 persons in Iraq, including 40 inspectors.	Wilson uses some 120 persons in Iraq, 40 of whom are inspectors.
The poll also showed that a higher percentage of Americans (65%) believe that even if the investigation proceedings actually began, Clinton ought not to be removed.	According to the poll, 65% of Americans believe that Clinton should be removed from office.
The Damascus public have been welcomed into the election candidate's private homes or to specially erected tents where voters have been enjoying food, drink and entertainment, particularly in the home of the wealthy candidate, Adnan Mullah, where dozens of supporters and friends have been invited to dinner every evening.	Candidates are entertaining voters in their homes.
It could mean to leave in the street to thousands of workers.	It could lead to thousands of job losses.
The source added that the investigation proved that the bases of the genocide crime were completed with a series of illegal arrests followed in some cases with assassinations or cases of disappearances and were preceded, according to information attached to the file, by cases of torture..	Investigators discovered that a series of illicit arrests of were often followed by disappearances or murders and were preceded by torture.
Sources in Tegucigalpa reported that many Latin American countries are gearing up to face Hurricane Mitch.	South American countries are preparing for Mitch.
Clinton informed the two parties that in the absence of an agreement, a public announcement would be made, with the apparent objective of applying pressure to both sides, particularly the Israelis.	Clinton told the two sides that he would publicly announce their failure to agree, thereby pressurising them.
An official of the International Special Commission in charge of disarming Iraqi weapons (UNSCOM) announced yesterday, Saturday, that the Commission will keep its inspectors in Iraq despite Baghdad's decision to stop its cooperation with them.	UNSCOM is to stay in Iraq.
The Tunisian Foreign Ministry announced that Libyan leader Colonel Moammar Al Kaddafy arrived in Tunis this morning, Monday, for a brotherly and recreational visit, at the invitation of Tunisian President Zine El Abidine Bin Ali.	Libya's leader Colonel Muammar Qaddafi arrived in Tunisia at the invitation of President Zine El Abidine Bin Ali.
The American House of Representatives is due to vote today, on a resolution submitted by the Chairman of the Judicial Committee, Henry Hyde, asking Congress to launch an investigation over charges brought forward by Independent Prosecutor-General Kenneth Star against President Clinton in the Monica Lewinsky affair.	Voting will take place in the American House of Representatives today, on the President Clinton-Monica Lewinsky scandal.
Nevertheless, 58 percent of Americans expressed their satisfaction with the President's job performance. 44 percent supported Nixon at the very beginning of the investigation into Watergate.	58% of Americans are unsatisfied with Clinton's job performance.
Security authorities have declared a state of maximum emergency in Guatemala, which is located directly in the path of the hurricane.	There is a state of maximum emergency in Guatemala because of the hurricane.
The Yemeni Islamic Jihad group emerged in 1992, and it is comprised of old warriors from Afghanistan.	Yemen's Islamic Jihad group was set up by old Afgan warriors in 1992.
Greenspan's stance has underpinned predictions the Fed will raise rates steadily this year.	The position of Greenspan has propped up the predictions that the Fed will gradually elevate the east interest rates year.
A statement issued by Royal Moroccan Airlines, a copy of which was received by Agence France Presse today, said that the company decided to start two flights a week between Casablanca and Gaza as soon as the Palestinian airport is opened there.	With the opening of the Palestinian airport, Royal Moroccan Airlines will fly between Casablanca and Gaza.
Eddeh reasserted his opinion that President Al-Hrawi ought to be reinstated for another 3 years, claiming that the he has considerable experience in the running of the state, but his resignation would be appropriate after the withdrawal of Israeli and Syrian forces..	Eddeh calls for an extension to Al-Hrawi's presidency, saying that he should resign after the withdrawal of the Israeli and Syrian forces..
Both candidates are making a major push in Iowa.	Both candidates are delivering a great attack in Iowa.
Slavkov, accused in the Salt Lake scandal but later cleared, said he had been approached by Takatch.	Slavkov, defendant in the scandal of Salt Lake but that later was exculpated, in fact said that Takatch.
The humane organization, Caritas, quoting its branch in Iraq, announced today, in Germany, that several Iraqi hospitals, especially Saddam Hospital, which is considered the biggest hospital in Iraq, were hit in the American-British bombing of the Iraqi capital.	Caritas announced that several Iraqi hospitals, (excluding Saddam Hospital,) were hit in the shelling of Baghdad.
It was like hitting the jackpot.	It was like removing the lottery.
Israel controls an area of about 850 square kilometres in the south of the Lebanese Republic, while Syria has about 30 thousand soldiers over two thirds of the Lebanese territory.	Syria has 30,000 soldiers in 60% of Lebanon, and Israel controls an area in the south of 850 square kms.
Ramadan told reporters at the opening ceremony of the Baghdad International Exposition, No cooperation and no inspection or monitoring by the American Zionist espionage commission (the Special Commission for disarming Iraq's banned weapons - UNSCOM) before Iraq's demands are met..	Ramadan announced that Iraq will not cooperate with the inspectors.
The Iraqi Foreign Minister, Mohammad Said Al-Sahaf, met today with the new ambassadors and briefed them on the Iraqi diplomacy directives of escalating the move toward lifting the blockade imposed on Iraq and developing relations with various countries of the world..	Mohammed Said AL-SAHAF met with the ambassadors and briefed them on Iraq's diplomacy directives.
Journalists of the concealed BBC, that was made happen through advisers of London industralists, asked Slavkov.	BBC undercover reporters, posing as consultants acting for London businessmen, ask Slavkov.
The American State Department announced that Russia recalled her ambassador to the United States for consultation due to the bombing operations on Iraq.	The American Ministry of Foreign Affairs announced that Russia called the United States about the bombings on Iraq.
The American television network A.B.C. quoted undisclosed sources at the American Defense Department today, Thursday, saying that the intense bombing operations on Iraq may cease by the end of this week.	The television network CNN, quoting sources in the American Ministry of Defence, revealed that the bombing of Iraq might end this week.
U.S. consumer spending dived in June.	The cost of the consumer of the United States fell in June.
The Croatian will face competition, especially from the American of Chinese origin, Michael Chang, second-seeded in the tournament. Organizers hope that the tournament will contribute to advancing tennis in their countries.	The Croatian and the Asian-American, Michael Chang (number two) will play eachother, and hopefully popularise the game in their native countries.
Aziz confirmed that Iraq's demands include the lifting of the blockade and the restructuring of the espionage commission, including its Chairman, (Richard) Butler.	Iraq demands the lifting of the embargo and changes in the committee.
The girl was found in Drummondville.	Drummondville contains the girl.
The report catalogues 10 missed opportunities within the CIA and FBI to uncover pieces of the September 11 plot.	The report analyzes 10 missed opportunities within the CIA and FBI to uncover pieces of the September 11 plot.
The witness then spotted Rodriguez crouching behind a gate for protection.	The witness rescued Rodriguez.
His family has steadfastly denied the charges.	The charges were denied by his family.
Alcohol now fuels 44 percent of all violent crime and 70 percent of Accident and Emergency hospital admissions at peak times are due to booze.	Alcohol has an effect on violent crimes.
Blair has sympathy for anyone who has lost their lives in Iraq.	Blair is sympathetic to anyone who has lost their lives in Iraq.
Protesters, many from organized pro-government groups but including many ordinary citizens, carried anti-American banners and chanted slogans attacking U.N. Secretary-General Kofi Annan for his close alignment with U.S. policy.	Protesters confiscated anti-American banners and chanted slogans attacking U.N. Secretary-General Kofi Annan for his close alignment with U.S. policy.
The report catalogues 10 missed opportunities within the CIA and FBI to uncover pieces of the September 11 plot.	Ten missed opportunities within the CIA and FBI are uncovered in the report.
The report faults intelligence agencies for a lack of imagination in not anticipating that al Qaeda could attack the United States using hijacked aircraft.	The report blames intelligence agencies.
Iraq would have been an unsafe, unsecure country that did pose a threat to the world.	A threat to the world would have arisen from Iraq.
Rodriguez told detectives he never touched the burning backpack, which was loaded with plastic pipes packed with gunpowder and BBs.	The burning backpack contained plastic pipes packed with gunpowder and BBs.
Blair has sympathy for anyone who has lost their lives in Iraq.	Blair is sorry for anyone who has lost their lives in Iraq.
Profits nearly doubled to nearly $1.8 billion.	Profits nearly doubled from nearly $1.8 billion.
Iraq would have been an unsafe, unsecure country that did pose a threat to the world.	Iraq would have constituted a threat to the world.
Five other soldiers have been ordered to face courts-martial.	Five other soldiers have been refused to face courts-martial.
The prosecutor told the court that the incident had caused distress to one of the children.	The prosecutor told the court that distress in one of the children is associated with the incident.
Bomb-sniffing dogs were brought to Rodriguez's Mulberry St. apartment.	Bomb-sniffing dogs were estimated at Rodriguez's Mulberry St. apartment.
Rich and poor nations struck a historic deal on Sunday to slash billions of dollars in farm subsidies, create more open industrial markets and revive stalled world trade talks that could boost global growth.	Rich and poor nations crashed into a historic deal on Sunday.
Relatives of a missing woman and her husband said late Saturday that new information from the husband has prompted them to call off a volunteer search for the woman.	Relatives of a missing woman and her husband cancelled a volunteer search for the woman.
Kerry hit Bush hard on his conduct on the war in Iraq.	Kerry shot Bush.
A matching fingerprint was discovered on the strap.	A matching fingerprint was excavated from the strap.
Saudi Arabia, the biggest oil producer in the world, was once a supporter of Osama bin Laden and his associates who led attacks against the United States.	Saudi Arabia is a key U.S. ally.
Quebec woman and her mother accused of plotting to kill a four-year-old girl.	Quebec woman murdered a four-year-old girl.
Rodriguez was spotted by a witness running away from the stairwell where the backpack was found seconds before it went off.	A witness rescued Rodriguez.
The Osaka World Trade Center is the tallest building in Western Japan.	The Osaka World Trade Center is the tallest building in Japan.
It's Only a Play is Terrence McNally's Give My Regards to Broadway, a lightweight tribute to the theater as seen from the lofty but limited vantage point of Broadway artists who are consumed by New York's hit/flop mentality.	Broadway is in New York.
Macedonian Milcho Manchevski's Before the Rain and Taiwanese Tsai Ming-liang's Aiqing Wansui/Vive L'Amour shared the Golden Lion award for best film.	Before the Rain and Vive L'Amour won the Golden Lion.
Jigish Avalani, group manager of Windows DNA marketing at Microsoft, explains that Windows DNA refers to the Windows Distributed interNet Application architecture, launched by Microsoft in fall of 1997.	Microsoft was established in fall of 1997.
After the 1979 Soviet invasion and occupation, 3 million Afghans fled to Pakistan, which was encouraged by hefty Western aid to take them in.	Afghanistan was invaded by the Soviet Union in 1979.
Andreessen, who helped define the Internet revolution as part of team that created the first Internet browser (Mosaic) and his co-founding Netscape, told a packed hall at the San Francisco Marriott hotel Thursday that he is extremely committed to his startup Loudcloud.	The Internet browser Mosaic was created at the San Francisco Marriott hotel.
Microsoft Israel was founded in 1989 and became one of the first Microsoft branches outside the USA.	Microsoft was established in 1989.
The demands on Italy's 53rd postwar government are apparent, as are the resentment and uncertainties Berlusconi has roused at the head of a new party with the catchy name Forza Italia (Go, Italy).	Silvio Berlusconi is in Forza Italia.
In 1969, more than 500 million people around the world sat in front of television sets, watching grainy images of two men in white bulky spacesuits planting a U.S. flag on the lunar landscape with its black horizon.	The Apollo astronauts waved the American flag on the moon in 1969.
Thus began the journey that led Hannam, a 29-year-old free-lance journalist, on an international quest to solve one of the greatest mysteries of Asia: What happened to Lin Piao, the Chinese Communist Party leader accused of a 1971 plot to overthrow Chairman Mao.	Lin Piao was the Chinese Communist Party leader.
The slender tower is the second tallest building in Japan.	The slender tower is the tallest building in Japan.
At eurodisney, once upon a time is now in this magical kingdom where childhood fantasies and make-believe come to life.	EuroDisney is located in this magical kingdom.
On his oak mantelpiece are a drinking bowl from Lake Turkana and an East African gourd, both of which he bought in Nairobi where he went in the fall of 1993 to visit Kitum Cave, the suspected host site for the Marburg virus, which is closely related to Ebola.	The Ebola virus has been found in Zaire.
Hoover's director reports directly to Stanford's president.	Hoover is the president of Stanford University.
The human species may be more than 100,000 years old but the bulk of its numerical growth has come in just the last few decades: 2.6 billion of today's 5.6 billion people have been born since 1960.	The world population is 5.6 billion.
VCU School of the Arts In Qatar is located in Doha, the capital city of Qatar.	Qatar is located in Doha.
In 1954, in a gesture of friendship to mark the 300th anniversary of Ukrainian union with Russia, Soviet Premier Nikita Khrushchev gave Crimea to Ukraine.	Crimea became part of Ukraine in 1954.
On this particular trip, Airbus, in cooperation with its partners, organized a trip for 80 children between the ages of 9 and 16 years from nearby National Children's Homes to visit EuroDisney for a day.	EuroDisney is located nearby National Children's Homes.
We've never had a core (business) thing, founder Richard Branson told Reuters at the launch this month of Virgin Vodka, which, with Virgin cola and Virgin computers, are his latest bright ideas.	Richard Branson's cola is called Virgin Cola.
Although Eurodisney is a great family day out, visit also the chateaux in the area and the various parks and pretty small villages.	EuroDisney is located in the various parks.
Brown brushed off a threat made Monday by his counterpart, Foreign Trade Minister Wu Yi, that if China's effort to join the General Agreement on Tariffs and Trade (GATT) by the year's end is unsuccessful, Beijing will no longer be bound by previous trade and economic commitments.	Wu Yi is the Foreign Trade Minister of China.
In fact, Woolsey had had no first-hand experience with the world of spies until President Bill Clinton appointed him Director of Central Intelligence.	James Woolsey is the director of the CIA.
Witnesses of genocide attacks on minority Tutsis in Rwanda are being singled out for execution by extremist Hutus in refugee camps in southwest Rwanda, a U.N. spokesman said in Kigali, the capital.	The Hutu and Tutsi groups fought in Rwanda.
Prince Charles was previously married to Princess Diana, who died in a car crash in Paris in August 1997.	Prince Charles and Princess Diana got married in August 1997.
To avoid further price-gouging, Norway's Ministry of Government Administration announced that it was freezing prices on lodging, food and beverages in the Lillehammer area during the Winter Olympics.	Norway hosted the Winter Olympic Games.
The Hotel Moulin de Paris in 2.5km away from Disneyland Paris, and is located in the charming city of Magny-Le-Hongre.	EuroDisney is located in the charming city of Magny-Le-Hongre.
The county Board of Supervisors accepted more than $700,000 in state grants Tuesday to extend a program that provides the controversial drug azidothymidine -- AZT -- to low-income residents with AIDS or AIDS-related illnesses.	AZT is an AIDS treatment.
Now it's Romania-Argentina at the Rose Bowl today -- and with a victory, it's on to the quarterfinals at Stanford, and a victory there and Romania will be back in Pasadena for the semifinals and World Cup final.	The World Cup final was held in Pasadena.
Jacqueline B. Wender is Assistant to the President of Stanford University.	Jacqueline B. Wender is the President of Stanford University.
For hundreds of family members holed up in a hotel not far from the Stockholm ferry terminal, where the boat Estonia was to have docked Wednesday morning after an overnight trip from the Estonian capital of Tallinn, the suspended rescue effort was just the latest in a day of heartbreaking reports.	The Estonia set sail from Tallinn.
A remastered version of Paramount's Breakfast at Tiffany's, starring Audrey Hepburn, is scheduled for release Nov. 2 at $40.	Audrey Hepburn starred in Breakfast at Tiffany's.
The main race track in Qatar is located in Shahaniya, on the Dukhan Road.	Qatar is located in Shahaniya.
Yoko Ono, widow of murdered Beatles star John Lennon, has plastered the small German town of Langenhagen with backsides.	Yoko Ono was John Lennon's wife.
Practically every architect of international stature has vied for the bonanza of public and private projects -- including Renzo Piano, Peter Eisenman, Philip Johnson, Rafael Moneo, Helmut Jahn and Richard Rogers.	Renzo Piano is an architect.
There are more than 4,000 street children in the capital city of Ulan Bator.	The population of Ulan Bator is 4,000.
Twelve of Jupiter's moons are relatively small and seem to have been more likely captured than to have been formed in orbit around Jupiter.	Jupiter has Twelve moons.
In 1932 he joined the then illegal Communist party and held high government and party posts from 1942, becoming home secretary in 1948, when the Communist party took control in Hungary.	Communist control in Hungary ended in 1948.
The tallest building in Tokyo and the second tallest building in Japan, the TMGO was conceived as a high-tech center from which Tokyo could be led into the promising twenty-first century.	TMGO is the tallest building in Japan.
Grieving father Christopher Yavelow hopes to deliver one million letters to the queen of Holland to bring his children home.	Christopher Yavelow is the queen of Holland.
How come a country (Vatican City), a so-called country, that is in essence 800 square acres of office space in the middle of Rome, that has a citizenry that excludes women and children, seems to attract the most attention in talking about public policy that deals with women and children? she demanded.	The Vatican City is in Rome.
Protest votes as citizens of the 25 EU nations punished their governments.	The European Union is made up of 25 nations.
Merrill Lynch & Co. and Smith Barney, now a unit of Citigroup, in 1998 settled discrimination cases involving hundreds of female employees.	Merrill Lynch & Co. and Smith Barney are now a unit of Citigroup.
A second man, aged 24, technically freed yesterday was bailed after being questioned over alleged forged identity documents, but has been further detained on immigration matters, a spokesman for Scotland Yard said.	A spokesman for Scotland Yard was freed yesterday.
U.S. light crude was trading erratically on the New York Mercantile Exchange, hitting $44.50 a barrel before easing back a bit to $44.10, still a gain of $1.27.	The U.S. light crude is $1.27 a barrel.
A rocket attack killed two Israelis, including a 3-year-old boy.	A three-year-old was killed in a rocket attack.
It found that binge drinking in women aged 18 to 44 increased in the United States by 13 percent between 1999 and 2002.	Female binge drinking rose 13 percent in three years.
Two bombs planted near an Islamic school in Pakistan killed eight people and injured 42 others yesterday in the latest outbreak of violence gripping the southern port of Karachi.	Eight people planted two bombs near an Islamic school in Pakistan.
Harvey Weinstein, the co-chairman of Miramax, who was instrumental in popularizing both independent and foreign films with broad audiences, agrees.	Harvey Weinstein is the co-chairman of Miramax.
On opening day Salesforce.com's stock was up $6.20 to $17.20, a 56.4% increase over the initial offering price of $11.	Opening day of the stock of Salesforce.com rose 56.4% over the initial offering price.
Even though the rug was ripped out from under Lollapalooza this week, Jane's Addiction frontman Perry Farrell is optimistic that the eclectic music festival he co-founded in 1991 will resurface and it might be sooner than you think.	Perry Farrel hopes to found another music festival.
Ahern, who was travelling to Tokyo for an EU-Japan summit yesterday, will consult with other EU leaders by telephone later this week in an effort to find an agreed candidate.	A summit between Europe and Japan is taking place in the Japanise capital.
After giving nearly 5,000 people a second chance at life, doctors are celebrating the 25th anniversary of Britian's first heart transplant which was performed at Cambridgeshire's Papworth Hospital in 1979.	The first heart transplant in Britian was performed in 1979.
More than 150 dolphins, marine turtles and beaked whales have been washed up dead on beaches in Africa.	Dead dolphins, turtles and whales have been found on African beaches.
The so-called grandmother hypothesis, based on studies of African hunter-gatherer groups, suggests that infertile women are vital for successful child-rearing despite being unable to produce children themselves.	The grandmother hypothesis suggests that infertile women are very important for raising children.
The kidnappers want the Kuwaiti firm that employs the men to stop doing business in Iraq and to pay compensation to the victims of U.S. strikes in Falluja.	The kidnappers paid compensation to the victims of the U.S.
Protest votes as citizens of the 25 EU nations punished their governments for everything from high unemployment to involvement in Iraq.	EU nations' citizens protest against punishment for unemployment.
Wal-Mart has received a lot of negative publicity recently, including allegations that it used illegal workers and made employees work without pay during lunch breaks, as well as complaints that it generally underpays employees.	Wal-Mart complains about negative publicity.
Following the assassination attempt in 1981, Reagan said he felt God had spared him for a purpose, and he intended to devote the rest of his life in dedication to his God and to that purpose.	Regan was almost assassinated in 1981.
Abu Eisa al-Hindi was said to have been involved in a plot to attack Heathrow airport, details of which were allegedly discovered on the computer of Abu Eisa al-Hindi, 25, an al-Qa'ida suspect recently arrested in Pakistan.	Abu Eisa al-Hindi is the father of Abu Eisa al-Hindi.
AT&T Corp. says it will stop selling traditional local and long-distance residential service in seven states, blaming its move on a court decision that it says will result in higher prices for its use of regional networks.	AT&T blames a court decision that will cause higher prices.
Infertile women are vital for successful child-rearing despite being unable to produce children themselves.	Infertile women cannot produce children.
The so-called grandmother hypothesis, based on studies of African hunter-gatherer groups, suggests that infertile women are vital for successful child-rearing despite being unable to produce children themselves.	Infertile women are vital for successful child-rearing, according to the grandmother hypothesis.
Cool, humid weather Sunday helped slow the advance of a fire that caused the evacuation of hundreds of homes and businesses in Alaska's Interior.	There was a fire in Alaska.
The Securities and Exchange Commission's new rule to beef up the independence of mutual fund boards represents an industry defeat.	The SEC's new rule will give boards independence.
Oil prices edged up today as Norwegian employers said they would respond to a strike by locking out all workers next week, threatening to shut off almost all oil and gas output.	Norwegian employers caused oil prices to rise.
Startling new research into mobile phones claims they may reduce a man's sperm count by up to 30%.	Male fertility may be affected by use of a mobile phones.
Ahern, who was travelling to Tokyo for an EU-Japan summit yesterday, will consult with other EU leaders by telephone later this week in an effort to find an agreed candidate to presidency of the European commission.	EU leaders found an agreement about a candidate to the post of European commission president.
Saginaw police responded to a domestic violence complaint at the wrong house and ended up shooting the owners' dog.	Saginaw police mistakenly went to the wrong house in response to a complaint.
President Bush returned to the Mountain State to celebrate Independence Day, telling a spirited crowd yesterday that on its 228th birthday the nation is moving forward with confidence and strength..	Independence Day was a popular movie.
Medicare will select by lottery 10 percent of those who apply by Aug. 16 to begin receiving benefits starting Sept. 1.	Medicare will choose 10 percent of applicants to receive benefits by Aug. 16.
The terrorist is suspected of being behind several deadly kidnappings and dozens of suicide attacks in Iraq.	The terrorist may have caused suicide attacks and kidnappings.
Toshiba has produced a fuel cell with no moving parts.	Toshiba has no moving parts.
Speaking outside the hospital moments after getting her child back, Ciancio said she was confident all along that the baby would be found.	Ciancio was hospitalized for speaking to the baby.
The SEC's new rule to beef up the independence of mutual fund boards represents an industry defeat.	Industries were defeated by the SEC.
Political leaders pledged that construction of the so-called Freedom Tower -- which will rise 1,776 feet into the air and be the world's tallest building -- will be finished on schedule by the end of 2008.	The Freedom Tower will be the world's tallest building.
Wal-Mart Stores has asked a US federal appeals court to review a judge's order approving class-action status for a sex-discrimination lawsuit.	The judge approves of sex-discrimination.
Protest votes as citizens of the 25 EU nations punished their governments for everything from high unemployment to involvement in Iraq.	Citizens of the 25 EU nations are punished by their governments for everything.
The nine men, aged between 19 and 32, are being held at Paddington Green high security police station in central London.	between 19 and 32 men are being held at Paddington Green high security police station in central London.
The Arabic-language television network Al-Jazeera reports it has received a statement and a videotape from militants.	Al-Jazeera is an Arabic-language television network.
Wal-Mart Stores has asked a US federal appeals court to review a judge's order approving class-action status for a sex-discrimination lawsuit.	A lawsuit was filed against Wal-Mart.
Jessica Litman, a law professor at Michigan's Wayne State University, has specialized in copyright law and Internet law for more than 20 years.	Jessica Litman is a law professor.
Ralph Fiennes, who has played memorable villains in such films as 'Red Dragon' and 'Schindler's List,' is to portray Voldemort, the wicked warlock, in the next Harry Potter movie.	Ralph Fiennes will play Harry Potter in the next movie.
One of two men released early on Saturday Mohammed Dawoud, 19, of Willesden, north-west London will appear before Horseferry Road magistrates' court today charged with possession of forged identity documents, police said.	Willesden will appear before Horseferry Road magistrates' court today.
Scotland Yard has been granted two more days to question nine of the 13 men arrested in co-ordinated anti-terrorism raids across the country last Tuesday.	13 men killed in co-ordinated anti-terrorism raids across the country last Tuesday.
Suncreams designed for children could offer less protection than they claim on the bottle.	Suncreams designed for children protect at the level they advertise.
